1934-01-29,1,6494,THE THIN MAN,DASHIELL HAMMETT
1934-01-29,2,481,ANTHONY ADVERSE,HERVEY ALLEN
1934-01-29,3,5829,THE MOTHER,PEARL S. BUCK
1934-01-29,4,2960,MEN AGAINST THE SEA,CHARLES NORDHOFF AND JAMES N. HALL
1934-01-29,5,3957,SEA LEVEL,ANNE PARRISH
1934-01-29,6,4129,SKIN AND BONES,THORNE SMITH
1934-01-29,7,7359,WORK OF ART,SINCLAIR LEWIS
1934-01-29,8,4748,THE CADAVER,"GIDEON WYCK, EDITED BY ALEXANDER LAING"
1934-02-05,1,7359,WORK OF ART,SINCLAIR LEWIS
1934-02-05,2,6494,THE THIN MAN,DASHIELL HAMMETT
1934-02-05,3,6389,THE STATE VERSUS ELINOR NORTON,MARY ROBERTS RINEHART
1934-02-05,4,481,ANTHONY ADVERSE,HERVEY ALLEN
1934-02-05,5,2960,MEN AGAINST THE SEA,CHARLES NORDHOFF AND JAMES N. HALL
1934-02-05,6,7041,ULYSSES,JAMES JOYCE
1934-02-05,7,5829,THE MOTHER,PEARL S. BUCK
1934-02-12,1,7359,WORK OF ART,SINCLAIR LEWIS
1934-02-12,2,7041,ULYSSES,JAMES JOYCE
1934-02-12,3,6389,THE STATE VERSUS ELINOR NORTON,MARY ROBERTS RINEHART
1934-02-12,4,481,ANTHONY ADVERSE,HERVEY ALLEN
1934-02-12,5,6494,THE THIN MAN,DASHIELL HAMMETT
1934-02-12,6,168,A MODERN TRAGEDY,PHYLLIS BENTLEY
1934-02-12,7,5829,THE MOTHER,PEARL S. BUCK
1934-02-12,8,7341,WITHIN THIS PRESENT,MARGARET AYER BARNES
1934-02-19,1,7359,WORK OF ART,SINCLAIR LEWIS
1934-02-19,2,481,ANTHONY ADVERSE,HERVEY ALLEN
1934-02-19,3,6389,THE STATE VERSUS ELINOR NORTON,MARY ROBERTS RINEHART
1934-02-19,4,168,A MODERN TRAGEDY,PHYLLIS BENTLEY
1934-02-19,5,7341,WITHIN THIS PRESENT,MARGARET AYER BARNES
1934-02-19,6,7041,ULYSSES,JAMES JOYCE
1934-02-19,7,6494,THE THIN MAN,DASHIELL HAMMETT
1934-02-19,8,5218,THE GALLOWS OF CHANCE,E. PHILLIPS OPPENHEIM
1934-02-26,1,7359,WORK OF ART,SINCLAIR LEWIS
1934-02-26,2,481,ANTHONY ADVERSE,HERVEY ALLEN
1934-02-26,3,7041,ULYSSES,JAMES JOYCE
1934-02-26,4,6389,THE STATE VERSUS ELINOR NORTON,MARY ROBERTS RINEHART
1934-02-26,5,168,A MODERN TRAGEDY,PHYLLIS BENTLEY
1934-02-26,6,6036,THE POSTMAN ALWAYS RINGS TWICE,JAMES M. CAIN
1934-02-26,7,6494,THE THIN MAN,DASHIELL HAMMETT
1934-02-26,8,7198,WE RIDE THE GALE,EMILIE LORING
1934-03-05,1,7359,WORK OF ART,SINCLAIR LEWIS
